EventParticipation_Id,EventParticipation_Creator,EventId,EventParticipation_Bidder_UserName,EventParticipation_Bidder_UserId,EventParticipation_SupplierName,EventParticipation_SupplierId,EventParticipation_CommonSupplierName,EventParticipation_CommonSupplierId,EventParticipation_SupplierCity,EventParticipation_SupplierState,EventParticipation_SupplierCountry,EventParticipation_SupplierType,EventParticipation_Owner_UserName,EventParticipation_Owner_UserId,EventParticipation_AcceptedFlag,EventParticipation_DeclinedFlag,EventParticipation_IntendToRespondFlag,EventParticipation_DeclinedToRespondFlag,EventParticipation_ParticipatedFlag,EventParticipation_AwardedFlag,EventParticipation_BidsSubmitted,fraud
AAHMAN0V4ez!m,,Doc6737990,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,1
AAHMAN0V4e00S,,Doc6744368,Teri Brown,tbrown,Digi Storage,sid504,Digi Storage,sid504,Boonton,NJ,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,2,0
AAHMAN0V4ezzp,,Doc6737990,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,1
AAHMAN0V4e0bi,,Doc6738020,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4ez41,,Doc6737990,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,1
AAHMAN0V4e1Nx,,Doc6756668,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0lJ,,Doc6738020,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0Aq,,Doc6756383,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ezb!,,Doc6737975,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e08T,,Doc6756651,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ezua,,Doc6737975,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e06D,,Doc6756634,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1Mi,,Doc6744368,Shane Gavaskar,sgavaskar,LanSoft Technologies,sid508,LanSoft Technologies,sid508,Sunnyvale,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0vg,,Doc6756634,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0Q1,,Doc6756400,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1Od,,Doc6744368,Sam Tendulkar,stendulkar,LanSoft Technologies,sid508,LanSoft Technologies,sid508,Sunnyvale,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ezs0,,Doc6756366,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1fI,,Doc6755435,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0sb,,Doc6756634,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0Gv,,Doc6756400,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1dw,,Doc6755435,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4ez3F,,Doc6756383,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1hZ,,Doc6755435,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e03O,,Doc6756634,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1St,,Doc6744368,Sheryl White,swhite,TechDirect Corporation,sid510,TechDirect Corporation,sid510,White Plains,NY,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ezh+,,Doc6756366,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1ax,,Doc6756668,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1m4,,Doc6755435,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1dJ,,Doc6756668,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0O2,,Doc6738005,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1FI,,Doc6756651,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0L5,,Doc6738005,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0Tn,,Doc6756400,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0jt,,Doc6756417,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1Ug,,Doc6744368,Yui Nakagawa,ynakagawa,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4ezx1,,Doc6756366,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1HG,,Doc6744368,Keefer Dev,kdev,LanSoft Technologies,sid508,LanSoft Technologies,sid508,Sunnyvale,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1Yz,,Doc6756668,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1lE,,Doc6755435,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1iV,,Doc6756685,Dawn Jackson,djackson,TechStrategy Partners,sid518,TechStrategy Partners,sid518,Stamford,CT,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4ezVS,,Doc6756349,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0D1,,Doc6738005,Patricia Taylor,ptaylor,Javatec.com,sid516,Javatec.com,sid516,Santa Clara,CA,US,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0gW,,Doc6756417,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e0VT,,Doc6738005,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0yO,,Doc6756634,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
AAHMAN0V4e0!z,,Doc6744368,Andrew Border,aborder,LanSoft Technologies,sid508,LanSoft Technologies,sid508,Sunnyvale,CA,US,,Customer Support Admin,customersupportadmin,False,False,True,False,False,False,0,0
AAHMAN0V4e1Kh,,Doc6756651,Zuo Wei Wu,zwwu,Shang Fa Paper Products Manufactory,sid809,Shang Fa Paper Products Manufactory,sid809,Dongguan,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e0iW,,Doc6738020,pseudotaggeds1,pseudotaggeds1,Tokyo Denki K.K.,sid800,Tokyo Denki K.K.,sid800,Chiyoda-ku,Tokyo,JP,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1H2,,Doc6756651,Mao Whei Xiao,mwxiao,China Won Human Resources Int.,sid808,China Won Human Resources Int.,sid808,Guangzhou,Guangdong,CN,,Customer Support Admin,customersupportadmin,True,False,True,False,True,True,6,0
AAHMAN0V4e1Cj,,Doc6756651,Lynn Harrison,lharrison,Junta.com,sid523,Junta.com,sid523,Waterloo,ON,CA,,Customer Support Admin,customersupportadmin,True,False,True,False,True,False,6,0
